Date,Open,High,Low,Close,Volume
2020-03-03,219.05,221.91,209.60,210.34,53568800
2020-03-04,215.96,222.47,215.96,221.73,37889400
2020-03-05,218.25,219.10,213.21,214.18,38802500
2020-03-06,209.09,213.45,204.20,205.47,54591000
2020-03-09,191.00,199.46,186.28,191.01,74359900
2020-03-10,197.17,205.28,193.00,203.43,59455500
2020-03-11,200.15,201.00,190.00,191.67,55700300
2020-03-12,179.71,186.33,170.07,174.40,89566100
2020-03-13,184.03,198.90,174.91,197.43,83967200
2020-03-16,174.75,184.07,168.31,170.59,88906800
2020-03-17,178.90,192.42,176.59,185.99,67251300
2020-03-18,177.55,184.17,173.87,174.59,74276800
2020-03-19,181.85,186.29,172.85,180.25,75652300
2020-03-20,181.99,186.52,173.27,178.35,90553100
2020-03-23,169.50,178.32,167.51,177.77,75124200
2020-03-24,185.71,195.39,185.71,194.25,65814500
2020-03-25,195.42,198.84,183.00,185.85,70917300
2020-03-26,191.28,199.07,187.94,199.07,56831300
2020-03-27,193.73,196.62,190.78,192.10,44688300
2020-03-30,193.87,199.49,191.63,198.99,40200200
2020-03-31,199.59,201.41,195.96,196.48,46007200
2020-04-01,190.70,194.29,188.50,190.81,43695400
2020-04-02,191.43,198.99,189.67,198.90,42106600
2020-04-03,196.30,198.10,194.18,195.19,34628800
2020-04-06,203.47,209.13,201.98,208.40,47497900
2020-04-07,213.27,213.81,205.17,205.83,44203800
2020-04-08,207.67,212.27,207.39,211.76,36161600
2020-04-09,214.37,215.66,209.87,213.40,37787900
2020-04-13,211.77,214.59,210.05,214.09,28555600
2020-04-14,219.86,222.76,218.60,222.50,35779100
2020-04-15,218.54,220.35,215.67,218.71,32129600
2020-04-16,220.30,224.47,219.86,224.28,32395100
2020-04-17,227.51,228.50,223.56,224.58,40239300
2020-04-20,222.80,225.93,220.37,222.18,30267700
2020-04-21,216.90,218.23,212.37,212.67,43045400
2020-04-22,217.02,221.55,216.85,221.02,29943400
2020-04-23,221.05,222.64,218.12,219.51,29041500
2020-04-24,221.53,221.80,216.79,218.13,29614800
2020-04-27,220.14,223.22,219.53,222.96,26269000
2020-04-28,225.42,226.00,220.49,220.52,30146700
2020-04-29,226.01,231.21,225.50,230.95,41045600
2020-04-30,229.11,230.39,224.25,224.25,47009100
2020-05-01,219.02,220.28,212.61,213.26,43227600
2020-05-04,214.85,218.81,213.33,218.80,31200200
2020-05-05,221.24,223.40,220.07,220.15,30068300
2020-05-06,221.06,223.27,219.09,222.47,27685000
2020-05-07,224.54,226.59,223.63,226.33,27467400
2020-05-08,229.32,232.00,228.80,231.84,28610400
2020-05-11,230.08,231.47,226.35,226.68,27892600
2020-05-12,228.81,230.22,222.23,223.10,33072400
2020-05-13,223.63,226.00,218.10,220.29,35082400
2020-05-14,217.35,222.15,216.20,221.85,28961600
2020-05-15,221.13,223.56,219.08,222.93,28073400
2020-05-18,229.51,231.98,228.72,231.95,28426200
2020-05-19,231.05,231.33,227.50,227.93,24106000
2020-05-20,229.88,233.86,229.71,233.67,24587500
2020-05-21,233.11,233.28,229.57,230.23,22768700
2020-05-22,229.05,230.54,227.53,228.63,21248600
2020-05-26,234.79,237.68,234.46,237.54,28911200
2020-05-27,236.47,237.91,233.46,233.83,29254600
2020-05-28,232.99,234.52,230.41,232.25,24869500
2020-05-29,232.93,235.32,231.80,234.31,32018300
2020-06-01,235.91,238.22,235.54,237.81,22764800
2020-06-02,238.20,240.78,238.20,240.76,24287500
2020-06-03,241.43,243.11,240.35,241.00,25000400
2020-06-04,239.53,241.57,238.29,238.60,23665100
2020-06-05,242.86,247.38,242.60,247.10,31377900
2020-06-08,247.08,250.10,246.73,248.47,27632300
2020-06-09,249.40,249.88,244.36,245.74,27181500
2020-06-10,248.66,252.99,248.66,252.99,28126800
2020-06-11,245.42,246.55,237.33,238.04,42092300
2020-06-12,240.94,243.40,236.25,242.41,35099600
2020-06-15,235.06,243.15,234.25,243.15,34346600
2020-06-16,246.27,250.02,245.85,249.53,28561700
2020-06-17,249.90,251.32,248.40,249.29,21856600
2020-06-18,249.31,251.03,248.49,250.81,21152000
2020-06-19,251.56,252.50,249.08,249.62,39248200
2020-06-22,250.89,252.69,249.11,252.69,22227500
2020-06-23,255.12,256.57,253.70,256.18,26067100
2020-06-24,254.75,256.10,248.67,248.72,30051500
2020-06-25,248.44,252.99,247.98,252.83,23780600
2020-06-26,253.22,253.38,246.09,246.52,34851300
2020-06-29,248.26,252.01,247.87,251.71,22693900
2020-06-30,251.09,255.09,250.89,254.71,26839800
2020-07-01,255.70,256.30,253.57,254.89,20836800
2020-07-02,257.72,260.90,257.72,260.85,23827800
2020-07-06,263.47,266.53,262.52,266.07,28227200
2020-07-07,265.71,266.25,262.30,262.67,23628500
2020-07-08,264.25,268.04,263.90,268.04,24175600
2020-07-09,268.93,269.32,263.82,264.75,24809300
2020-07-10,263.88,266.00,262.32,265.98,20316000
2020-07-13,269.15,271.98,263.90,265.42,31107000
2020-07-14,260.75,269.57,259.79,269.57,30028700
2020-07-15,273.81,274.80,268.68,272.71,31962400
2020-07-16,272.15,273.36,267.06,268.30,27121000
2020-07-17,270.48,271.17,267.69,268.71,21632100
2020-07-20,272.57,280.01,272.00,279.81,31312700
2020-07-21,280.64,282.21,278.05,281.83,24894200
2020-07-22,281.49,284.00,280.07,283.53,22627000
2020-07-23,281.92,283.01,273.51,273.52,30829800
2020-07-24,271.13,273.58,267.46,268.42,30016000
2020-07-27,269.76,275.01,269.37,274.25,25001200
2020-07-28,274.47,274.55,269.63,270.12,21741900
2020-07-29,273.00,277.17,272.81,276.87,20663000
2020-07-30,273.39,275.57,271.79,273.40,23166700
2020-07-31,278.43,281.54,277.02,280.69,31227700
2020-08-03,283.35,284.50,280.71,283.95,22161900
2020-08-04,283.35,285.14,282.35,284.98,18551400
2020-08-05,286.39,287.63,284.73,287.63,19746400
2020-08-06,287.64,290.84,286.89,289.99,21259500
2020-08-07,288.93,289.85,285.02,286.35,19820000
2020-08-10,285.16,288.21,284.79,287.77,17101800
2020-08-11,290.00,290.02,281.33,281.83,24658300
2020-08-12,284.33,287.66,283.51,287.37,19218600
2020-08-13,287.42,287.51,284.07,285.17,15863000
2020-08-14,285.55,287.09,285.04,287.04,13188600
2020-08-17,290.03,293.76,289.98,293.36,20328200
2020-08-18,293.31,295.21,292.45,294.41,17574400
2020-08-19,294.97,296.67,293.78,294.08,18295600
2020-08-20,293.23,295.69,292.84,295.62,15721700
2020-08-21,296.91,300.66,296.76,299.88,22112700
2020-08-24,302.49,306.53,302.49,306.22,24066400
2020-08-25,307.56,307.91,303.81,306.40,20396000
2020-08-26,306.97,310.84,305.96,310.84,21291100
2020-08-27,313.56,313.72,305.07,308.84,28405400
2020-08-28,308.59,311.26,307.74,310.91,18906700
2020-08-31,312.30,314.62,311.57,314.12,24306500
2020-09-01,317.40,319.25,314.37,317.84,24605100
2020-09-02,323.93,326.09,317.65,318.93,33134700
2020-09-03,316.70,319.44,299.90,301.33,50280400
2020-09-04,301.63,305.91,292.51,295.03,47169100
2020-09-08,285.86,294.06,280.51,293.17,54186800
2020-09-09,300.08,304.52,298.23,303.88,37001400
2020-09-10,305.47,306.28,292.90,293.33,41458800
2020-09-11,295.79,300.78,293.61,299.74,30538200
2020-09-14,304.87,307.06,302.02,306.80,28696700
2020-09-15,306.39,309.06,304.71,308.82,22835100
2020-09-16,310.12,312.39,302.75,303.17,28789500
2020-09-17,298.59,302.47,295.09,299.68,34279400
2020-09-18,300.24,302.54,294.44,296.50,55496300
2020-09-21,287.87,293.29,283.88,293.02,44236700
2020-09-22,295.49,296.11,288.80,290.85,29917200
2020-09-23,292.41,296.53,278.81,279.47,46339700
2020-09-24,280.62,289.69,276.35,288.47,38920500
2020-09-25,287.75,293.49,286.46,292.75,29192600
2020-09-28,299.73,302.22,297.48,300.87,27553900
2020-09-29,299.14,300.33,295.09,295.63,21879500
2020-09-30,298.47,302.28,296.84,301.40,28149100
2020-10-01,305.64,307.48,302.46,304.58,23807700
2020-10-02,295.78,301.79,294.22,299.36,30037200
2020-10-05,302.77,306.01,302.77,305.22,20310700
2020-10-06,305.64,305.80,296.65,296.82,25666300
2020-10-07,300.22,303.31,299.25,302.87,20065500
2020-10-08,304.17,305.90,303.04,305.37,17188200
2020-10-09,307.09,309.37,306.86,309.16,17960200
2020-10-12,315.26,318.31,314.35,316.92,27066400
2020-10-13,316.17,317.32,313.04,313.17,21102700
2020-10-14,317.20,318.39,312.61,313.34,22099100
2020-10-15,309.55,312.08,307.20,311.34,22139000
2020-10-16,313.86,314.87,311.23,313.66,18247500
2020-10-19,314.13,316.63,311.02,315.46,20117700
2020-10-20,316.27,318.18,311.42,313.54,23087900
2020-10-21,313.12,315.57,310.41,310.65,20379900
2020-10-22,311.00,311.31,305.93,308.52,22188200
2020-10-23,309.31,310.53,306.77,309.63,18124700
2020-10-26,304.45,307.54,299.61,301.81,32147300
2020-10-27,303.30,305.65,302.62,304.30,22015900
2020-10-28,299.50,301.65,287.73,287.96,40858100
2020-10-29,293.69,298.51,291.52,298.22,30127100
2020-10-30,293.85,297.49,290.83,294.29,35267600
2020-11-02,296.71,299.42,294.61,298.19,24966500
2020-11-03,300.46,306.38,300.46,305.44,26878000
2020-11-04,312.59,316.06,306.48,313.76,35247200
2020-11-05,319.06,323.01,318.55,322.70,27882300
2020-11-06,320.44,322.38,316.73,318.95,24389600
2020-11-09,321.43,323.04,305.62,309.90,46090400
2020-11-10,301.37,306.50,298.77,301.81,42631800
2020-11-11,305.89,309.02,304.44,308.73,24002000
2020-11-12,307.91,311.49,305.63,305.87,24604500
2020-11-13,307.78,310.84,306.65,310.13,20160700
2020-11-16,314.88,318.58,313.00,316.67,25883100
2020-11-17,316.35,316.72,312.64,313.57,17818600
2020-11-18,314.17,316.47,311.41,313.42,19628200
2020-11-19,311.84,314.53,310.88,314.21,17614500
2020-11-20,313.60,314.85,311.04,312.00,24070100
2020-11-23,315.06,317.48,314.03,316.00,19768700
2020-11-24,317.81,322.32,317.81,322.05,22437400
2020-11-25,322.97,323.79,321.01,322.82,13867200
2020-11-27,324.42,325.57,323.64,325.48,9408800
2020-11-30,321.73,323.68,318.19,318.23,25958900
2020-12-01,321.07,323.14,319.40,323.05,19476900
2020-12-02,322.68,324.43,320.85,321.89,17700400
2020-12-03,323.38,324.79,322.13,324.74,14904700
2020-12-04,326.40,329.74,326.34,329.55,18696400
2020-12-07,329.16,330.27,326.54,326.66,17665600
2020-12-08,326.54,328.63,324.58,326.94,17315400
2020-12-09,329.27,331.07,322.27,323.12,22832700
2020-12-10,323.36,325.11,319.62,321.93,22355600
2020-12-11,320.15,323.28,318.35,318.47,21135100
2020-12-14,321.89,325.35,320.51,322.11,22133400
2020-12-15,323.89,326.73,323.50,326.73,20034100
2020-12-16,327.31,328.97,324.26,326.87,21508500
2020-12-17,329.36,331.85,328.67,330.04,19759500
2020-12-18,330.79,331.06,326.09,326.93,44436100
2020-12-21,322.02,326.77,318.98,322.15,32816400
2020-12-22,323.06,324.50,319.19,319.44,21067400
2020-12-23,320.93,323.03,318.89,322.06,14866900
2020-12-24,322.89,325.71,322.40,324.71,7432300
2020-12-28,328.62,330.24,326.93,327.53,16436400
2020-12-29,330.07,330.16,325.66,326.16,14414100
2020-12-30,326.70,328.76,326.70,327.93,11698200
2020-12-31,328.47,329.30,326.85,327.82,13314400


